game, winner
j10i9h10i10i8h9k9g8j11i11j9j8j12j13k10h7m12l11k12k11l12i12n12, b
j10i9h10i11h9i10i8i12i13h13j7k6g10f11h7h8j9k10j8j11j6, b
j10i9h10k9g9j12i11f8k10i10i7h8g8l10g7g6j9h7h6j8m12l11n12k11i13n8m9l8l9e4f5k8i8m8, w
j10i9k9l8l10k10m11j8i11l6k7l7l5k8m8i8h8j9l11i10h11m6, w
j10i9h10i11h9h12h11h8i10g10l10k10j9k8j11j12k12l13g8, b
j10i9h10i11i10k10g10f10j11f7j9j12j7j8h9i8k12l13g8, b
j10i9k9j8k7l8k8k10l7i10k6k5m6n5m7n7m8m5n9o10j5, b
j10i9j9j11k10h10j8l11l10m10j7j6k12k9h7g6h6h5k7i7i8k6l6i4f7k2j3j5h3k5i5h8g9l4, w
j10i9k9j8l6h10g11i11l8g9j12f8e7h9f9h8i8h11h12h7, w
j10i9j8k9i8j9l9l8g9k10k7k8k12l11m12l7i10l12h9j11g10f11h10f10h8h11g8f8g11g12g7, b
j10i9j8i8j7j9k9i7i6k10l11k8i10h9h12i11g6g9f9h10f8h8h7f10e11j6, w
j10i9k9j8k7k8m8i8h8i6i7j7h5m10l9j6j5k6h9h6g6l6, w
j10i9j8j9k9h6l10m11l8m7i11h12k8m8k10k11i10h10m10, b
j10i9j9j12j7j8h10i8i10g10k10l10k8h11l7m6k7m7k9k11k6, b
j10i9k9h12h10i11f10g10h9i7h8h7i8j7g7i10j8k8l7i12i13g12f12h11j9j13k14f9, w
j10i9j8i8i11j7i7k9h9h7j9h6j11j12i10g8h11g11g12f13k8, b
j10i9i10k10j9j8j11g8j12j13k12l13h12i12i11g13h11k8g11f11k11, b
j10i9k9i11i7h10k7g9j12e7f8h9f9h7h8i10i12g11f12g8g10j11k12f7, w
j10i9h10i11h9h12h7h8g7i8i10g10f7e7g8j11e6, b
j10i9h10k9g9j12i10k10g10f10g8g7g12g11f8e7i8h8h9f11j11k12f7, b
j10i9i10j9l9h9g9k10g6l11m12h7i8g8h6h10i6j6j8k8e6f6k9i7f7e8l8i11m7n6o9l6m9n9n10o11m11l12m10m13m8, b
j10i9k9m7i7j8h10i11h8k5f10g9i10g10k10l10k7k8h7h9j7g7l7, b
j10i9k9j8i11h12m7l8k8k7l6m9j6i6o9n8n10h10g11p6o7i7i8h7j7h9f9h8h11h6, w
j10i9i10k10j9j11l9k8k11l8j6m8j8j7i6k9n8m9k7m7m10n6o5n10k6h6l6m6m5n4n5l5o11i5o8k4j3j4g7i4h4m4k3l4, w
j10i9j9i10i8i11i12j12l11k10l14j11l13l12k12h10g9g11h11f12e13j8, w
j10i9h10h9k9i10k12g8f7g9f9g10g7i8i7f11e12j7, w
j10i9h10i11h9i8i10g10l10k10j11g8k12l13h12h11j12i12j13j14j9, b
j10i9i10g10l10k10k9i7l8i11m7n6l9l7l12l11m9n9m11n12n10k13o11p12k7, b
j10i9h10j9i10g10l10k10k9g9l11l8m11j8n12o13o11n11l12l13m13l14m12m14k12j12o12, b
j10i9h10j9k9k10i11l8g9f8g6i8l11g8h12g13j12k13i12k12f12g12i13i14k11l10j11h11m11, b
j10i9i10h10k7j8l8i5k9m7i11h12k8k6k10k11m10l10m9n10l9n9n11o12j7, b
j10i9i10l10k9g10l8m7h12i11k7i5k8k6k11k10j8m8j9h11j11j12j7, b
j10i9h10i10i7i12i11j12l12l8h12g13k11h11l7j9g12h9k9f9g9g10j13e8, w
j10i9h10h9j9g10j7j8j11i10i8h7j12j13i11g9l11k11k10m12k13l14l8k9l9m8l10l12l7, b
j10i9i10j9h10g10k9g9k10l10k12k11h12i11h9h11j11l13g8, b
j10i9i10h10f12k7j8j9h9k10k9i8l11j11l8m7l10m11l9l12l7, b
j10i9h10h9i10k10k9i11g9j7i8i7g7g10l7j9l9l8g5j5g8g6f8h8e7d6i5h6f6h4f7f9d7c7h7, b
j10i9i10g10h10h9g9k9j7j8l9k7k8m10l10k10l7j9l8l11l6, b
j10i9j8j9k9i11m11l10i8l8l11k8j11i10l7n11m10m8j13k12m13m12k13j14l13i13n13, b
j10i9j9j12j8j7i7l10g5h6h5f5i5i6f6k8k5j5h4e7j6g3h8g9l4, b
j10i9h10h9j9j8g10i10i11j11g8g9i8k9i7k12l13m12j12l11k10m10n9k13h7g6f9e10i6j5i4i5e8h11d7c6f7g7f8h8f10f11f6, b
j10i9i10h10j9h11j11j12k12l13j8j7h12k13i11k9i13g11g8h9i12i14g13f14h13k10f13e13j13, b
j10i9i10j9h9k9k10l10h6l9m9j8m11l8l7l11l12h10k7m10k8j7n10k13n9j6j5n11k6m8o9p8h3i4k4k5g8f7h7i6k12j11p9q9n12m12h5h8h4, b
j10i9k9i11i10j8l6l8l10k10g11n8k8j9l11g9h10f10l13l12m11j11o13n12n11o11m12k14m10m9l9o12j7, b
j10i9i10l10k9i11k11h10k13g9f8h9f9h11h8g11j8f11e11j11, w
j10i9k9i11k7i10i12j11i7h9g8k12l13h11g11l11k11g9f9h10h8j12k13f8, w
j10i9i10k10j9l7h10k8g10f10j7j8j11h9j13j12h11i12g12f13g11g13i11f11k11, b
j10i9j8i7i8h8j9j7k8h11l8m8j11j12l7m6l11k10l10l9m11k11k9n12i11h12m7, b
